Keywords,Search Volume (Average),Search Volume (Sep 2024),Search Volume (Oct 2024),Search Volume (Nov 2024),Search Volume (Dec 2024),Search Volume (Jan 2025),Search Volume (Feb 2025),Search Volume (Mar 2025),Search Volume (Apr 2025),Search Volume (May 2025),Search Volume (Jun 2025),Search Volume (Jul 2025),Search Volume (Aug 2025),Search Volume (Sep 2025),Search Volume (Oct 2025),Search Volume (Nov 2025),Search Volume (Dec 2025),Search Volume (Jan 2026),Search Volume (Feb 2026),Search Volume (Mar 2026),Search Volume (Apr 2026),Search Volume (May 2026),Search Volume (Jun 2026),Search Volume (Jul 2026),Search Volume (Aug 2026),Trend,Top of Page Bid (Low Range) (JPY),Top of Page Bid (High Range) (JPY),Competition
アクセサリー 苦手 hsp,170,170,170,170,170,170,170,140,110,140,140,140,110,170,140,140,170,170,170,140,140,170,140,170,140,-18,0.00,0.00,0
一度 嫌いになったら 無理 hsp,170,260,320,320,260,260,320,210,260,210,170,260,260,210,260,210,170,140,90,110,90,90,170,170,170,-35,0.00,0.00,1
人と 話すと涙が出る hsp,170,590,590,480,480,480,390,320,390,390,320,210,140,210,210,260,210,170,210,170,210,260,90,50,140,-76,2.71,127.89,6
優しくされると泣く hsp,170,320,260,210,170,260,170,210,210,210,170,170,210,210,260,210,170,170,170,170,170,170,140,50,50,-84,3.07,123.82,5
大きな音が苦手 hsp,170,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,30,70,170,210,320,480,260,260,260,2500,0.00,0.00,1
大森 元 貴 hsp,170,90,90,50,50,110,70,50,50,50,70,90,90,40,50,70,170,260,170,140,170,260,170,170,170,89,0.00,0.00,0
少し 言 われ ただけで泣く hsp,170,390,480,260,320,260,260,320,320,320,320,320,320,260,320,260,210,170,90,140,140,110,70,90,70,-82,1.58,160.96,7
感覚過敏 hsp,170,260,260,260,210,260,260,260,260,260,260,210,260,170,260,210,140,110,140,140,140,170,170,170,110,-58,0.00,0.00,1
環境 の変化に 弱い hsp,170,320,320,320,260,320,320,480,720,260,210,210,210,210,170,140,140,140,140,210,320,170,140,110,110,-66,2.97,51.90,3
買い物 疲れる hsp,170,210,210,210,260,260,210,260,210,260,170,210,210,320,260,210,170,140,170,170,170,170,140,110,140,-33,0.00,0.00,0
hsp 94188,140,110,140,140,110,210,110,170,110,110,140,110,90,110,110,70,140,170,140,110,170,140,140,170,140,27,0.00,0.00,100
hsp すぐ泣く,140,260,260,210,210,210,210,210,210,210,210,210,210,170,170,170,210,170,140,140,110,90,110,90,90,-65,0.00,0.00,1
hsp なんj,140,260,260,260,260,320,260,210,260,210,210,210,210,170,170,210,210,140,140,140,110,140,110,110,110,-58,0.00,0.00,0
hsp の人,140,90,110,110,110,90,140,110,110,140,110,110,140,140,110,90,140,140,110,110,140,260,170,90,110,22,0.00,0.00,2
hsp サバゲー,140,260,170,70,30,50,20,50,170,210,260,170,260,170,140,70,70,40,30,50,140,260,210,170,260,0,0.00,0.00,0
hsp スピリチュアル,140,170,170,140,170,210,210,170,170,170,170,110,210,170,140,140,110,110,140,140,110,140,140,110,90,-47,0.00,0.00,0
hsp メリット,140,210,260,170,210,260,170,210,170,170,140,170,170,140,110,170,170,170,140,170,140,140,110,170,110,-48,0.00,0.00,0
hsp 一人 で いたい,140,260,210,210,260,260,170,170,210,170,140,110,170,140,170,210,170,110,90,110,140,140,90,90,140,-46,0.00,0.00,1
hsp 人に興味がない,140,170,140,170,170,210,140,110,90,110,110,90,110,140,140,170,110,110,90,170,140,90,110,90,110,-35,0.00,0.00,0
hsp 働き方,140,210,210,170,260,260,260,210,170,210,140,140,110,140,140,110,110,140,170,210,170,140,110,70,70,-67,97.25,319.26,18
hsp 別れが辛い,140,140,110,110,170,170,170,320,140,170,210,140,140,210,140,140,140,170,170,320,140,110,90,90,110,-21,0.00,0.00,0
hsp 向いてない仕事,140,210,210,170,210,210,170,210,210,140,170,170,260,170,140,110,140,140,140,170,110,170,140,140,70,-67,0.00,0.00,3
hsp 嫌われやすい,140,260,260,170,210,260,210,170,140,170,170,140,170,140,170,170,140,170,170,110,110,110,110,90,70,-73,0.00,0.00,1
hsp 恋愛 向いてない,140,260,260,260,320,210,140,170,140,170,210,210,260,170,140,140,170,170,140,170,90,110,70,70,70,-73,0.00,0.00,0
hsp 恋愛 疲れる,140,390,480,390,320,260,320,260,170,210,210,170,170,170,210,170,260,140,110,140,110,90,110,140,170,-56,0.00,0.00,0
hsp 求人,140,170,210,170,170,320,210,210,210,210,210,140,170,210,170,140,110,170,140,170,140,110,110,90,70,-59,141.44,741.14,57
hsp 泣く,140,260,260,260,260,260,260,390,320,320,260,260,210,170,210,170,140,140,140,110,110,90,90,110,90,-65,0.00,0.00,0
hsp 漫画,140,390,320,260,260,260,210,210,210,210,170,260,170,170,140,210,140,140,110,140,140,90,110,70,110,-72,29.86,152.41,13
hsp 生き方,140,320,260,260,260,260,260,260,210,210,170,210,260,210,210,170,170,210,110,140,110,110,140,90,140,-56,3.94,331.27,18
hsp 男 しんどい,140,170,140,90,90,90,70,90,90,140,110,70,70,90,70,170,110,140,140,140,170,170,170,90,70,-59,0.00,0.00,0
hsp 男 恋愛下手,140,140,110,90,90,110,50,110,90,140,90,90,140,140,140,210,170,170,110,110,70,90,70,90,110,-21,0.00,0.00,0
hsp 疲れる,140,210,170,140,170,210,170,210,170,170,140,110,170,170,140,140,140,140,110,140,140,110,140,110,90,-57,0.00,0.00,1
hsp 結婚できない,140,210,210,210,140,90,90,110,170,40,90,210,260,170,110,140,140,170,170,170,140,140,110,70,140,-33,0.00,0.00,0
hsp 面接 泣く,140,210,260,170,140,210,210,140,170,140,170,170,140,170,170,210,140,170,170,110,110,140,70,50,50,-76,0.00,0.00,0
カフェ イン 弱い人 hsp,140,0,50,70,90,90,170,170,260,210,210,170,210,170,210,110,140,170,140,170,140,140,90,70,90,80,0.00,0.00,0
スポーツ 観戦 苦手 hsp,140,30,70,40,20,20,20,90,50,50,50,70,70,90,90,90,70,70,140,170,70,140,480,170,140,367,0.00,0.00,0
予定があると落ち着かない hsp,140,390,390,320,390,390,390,480,480,170,140,90,70,90,50,140,70,70,90,170,260,260,170,210,170,-56,0.00,0.00,1
内向 型 hsp,140,210,390,260,210,170,210,170,170,210,140,210,170,210,170,170,110,140,140,140,110,140,110,90,90,-57,0.00,0.00,5
怒られたことが頭から離れない hsp,140,140,110,70,90,90,90,90,90,140,140,110,90,110,110,110,110,140,170,140,110,110,140,110,70,-50,0.00,0.00,1
怒られると泣いて しまう hsp,140,140,170,110,140,90,90,140,110,170,170,140,140,170,140,110,90,140,110,110,140,140,140,140,140,0,5.66,100.74,8
暗い部屋 が好き hsp,140,140,140,140,110,110,140,110,140,140,110,140,170,170,210,170,110,140,110,110,140,110,90,110,170,21,0.00,0.00,0
気持ちの切り替えが できない hsp,140,260,320,390,210,260,210,260,210,260,210,210,210,260,210,210,170,140,140,110,140,140,110,110,90,-65,0.00,0.00,2
神経質 hsp,140,260,320,260,210,320,260,210,260,260,170,170,260,210,140,170,140,170,140,170,110,110,90,110,140,-46,4.72,143.31,4
考えすぎて返信できない hsp,140,210,210,170,260,260,260,260,210,260,260,170,260,260,170,210,170,140,140,140,140,90,70,20,20,-90,0.00,0.00,0
誰 とも 関わりたくない hsp,140,140,140,70,70,140,90,110,90,170,110,110,110,140,170,170,170,170,140,110,110,170,140,110,90,-36,0.00,0.00,4
集団行動 苦手 hsp,140,260,320,210,170,210,170,170,170,170,140,140,140,140,170,140,140,140,140,110,140,140,90,110,90,-65,12.70,176.53,4
adhd と hsp,110,110,210,110,110,140,170,210,170,140,110,140,140,110,110,110,110,110,110,110,110,110,90,90,70,-36,0.00,0.00,0
holy trinity sauce hsp,110,90,70,110,140,140,140,170,170,140,170,210,210,170,170,170,110,90,70,90,90,90,90,70,90,0,0.00,0.00,0
hospital hsp,110,70,70,90,70,90,90,110,90,50,1300,210,260,140,90,90,140,170,140,110,110,90,70,70,90,29,0.00,0.00,1
hsp 2 wörter und sätze,110,140,90,110,70,170,140,170,90,210,260,70,40,140,70,110,70,110,140,90,110,170,170,70,30,-79,0.00,0.00,0
hsp 2025,110,140,170,260,260,390,480,880,260,140,170,170,210,170,590,140,140,90,90,70,50,40,40,30,20,-86,0.00,0.00,0
hsp 4-ew,110,140,140,140,110,140,140,170,140,110,110,140,140,170,170,140,110,110,110,110,110,110,110,110,70,-50,56.94,290.95,100
hsp よく寝る,110,390,390,320,210,260,320,390,260,210,210,140,170,140,90,110,110,140,140,140,90,110,90,210,110,-72,0.00,0.00,0
hsp オーストラリア,110,140,140,90,110,170,170,210,90,170,110,110,140,110,90,110,140,90,90,110,90,110,110,110,140,0,0.00,0.00,0
hsp サプリ,110,260,210,210,90,110,110,140,110,90,110,90,140,110,140,140,110,110,90,110,90,110,90,70,70,-73,0.00,0.00,38
hsp ストレス,110,210,210,260,170,260,210,170,170,170,170,140,170,170,140,170,90,140,110,90,70,50,70,70,70,-67,0.00,0.00,1
hsp 中学生,110,210,210,140,110,170,110,90,110,110,110,140,210,170,170,140,110,140,110,110,90,90,70,90,70,-67,2.91,126.65,6
hsp 人間関係,110,260,260,170,170,210,110,170,170,170,170,170,170,140,210,140,110,110,110,140,110,90,90,70,70,-73,38.97,139.24,10
hsp 医療,110,110,110,90,90,110,110,90,110,90,140,110,140,110,140,110,110,110,70,90,90,90,90,110,110,0,0.00,0.00,2
hsp 営業,110,170,210,170,170,170,210,170,210,210,210,170,170,170,90,140,140,90,110,140,110,140,70,70,50,-71,0.00,0.00,1
hsp 天才,110,170,210,140,170,140,110,90,140,170,140,110,140,140,110,140,140,140,110,70,90,90,70,70,70,-59,0.00,0.00,0
hsp 強み,110,170,170,140,140,140,140,110,140,170,140,90,140,140,110,140,140,170,170,170,170,110,50,50,50,-71,0.00,0.00,2
hsp 強化イグニッションコイル,110,90,90,50,110,70,90,110,70,90,110,90,90,110,210,90,90,110,110,110,110,140,110,70,70,-22,0.00,0.00,2
hsp 恋愛 冷めやすい,110,170,170,140,110,170,110,110,90,140,90,70,140,110,140,90,110,170,110,110,90,110,70,90,70,-59,0.00,0.00,0
hsp 日本語,110,140,140,90,90,110,110,110,90,110,110,90,140,110,90,110,110,110,110,140,90,110,90,110,110,-21,0.00,0.00,1
hsp 映画 疲れる,110,210,140,170,170,170,140,140,110,110,110,170,260,210,140,110,110,90,70,110,70,90,70,90,70,-67,0.00,0.00,0
hsp 気にしすぎ,110,170,170,140,140,140,140,140,140,170,140,170,140,140,170,140,110,110,140,90,70,70,70,40,50,-71,0.00,0.00,9
hsp 特性,110,110,140,90,90,140,90,110,110,90,260,170,210,140,140,110,140,110,110,110,110,140,140,110,90,-18,3.78,82.78,4
hsp 生まれつき,110,140,170,140,110,140,140,140,140,260,140,140,170,140,110,110,90,110,90,90,90,110,140,90,90,-36,0.00,0.00,0
hsp 相性の悪い人,110,50,90,50,50,70,110,90,70,90,70,90,110,110,110,90,110,140,140,110,90,110,90,70,50,0,0.00,0.00,0
hsp 睡眠時間,110,320,260,260,210,260,210,210,210,260,210,140,170,140,140,110,140,170,140,140,90,110,90,210,70,-78,0.00,0.00,0
hsp 耳栓,110,140,170,140,110,140,140,140,140,140,140,140,140,170,110,110,110,110,110,110,140,110,110,90,90,-36,4.95,62.65,83
hsp 聴覚過敏,110,170,170,140,110,170,140,110,140,140,110,110,140,140,140,140,140,140,110,110,90,90,110,70,70,-59,0.00,0.00,2
hsp 苦手なこと,110,260,320,260,260,260,210,210,210,210,170,140,170,170,170,170,140,110,140,110,110,90,70,110,50,-81,0.00,0.00,1
hsp 長所,110,260,260,170,210,320,210,210,210,170,170,140,170,140,140,110,110,110,110,110,110,70,90,70,70,-73,0.00,0.00,0
hsp 離婚率,110,170,140,110,140,110,140,110,140,140,70,90,140,140,110,140,140,140,110,110,110,110,90,70,70,-59,0.00,0.00,0
サプライズ 苦手 hsp,110,140,170,140,170,140,140,140,90,110,110,110,110,170,140,140,170,90,110,110,90,90,70,70,90,-36,0.00,0.00,1
ストレス hsp,110,210,210,260,170,260,210,170,170,170,170,140,170,170,140,170,90,140,110,90,70,50,70,70,70,-67,0.00,0.00,1
タートルネック 苦しい hsp,110,40,90,320,320,260,140,90,30,20,10,20,50,50,140,260,390,210,90,70,20,20,10,20,10,-75,0.00,0.00,0
人と一緒に寝れない hsp,110,140,170,90,90,210,140,110,110,140,90,140,110,110,110,170,170,140,170,140,70,50,70,90,110,-21,0.00,0.00,0
人の幸せを喜べない hsp,110,210,210,170,110,140,90,110,90,90,70,70,110,140,110,140,170,140,110,110,90,110,90,40,40,-81,0.00,0.00,0
休む罪悪感 hsp,110,170,170,170,140,140,90,110,90,110,110,110,110,110,140,170,140,140,140,140,110,110,90,90,70,-59,0.00,0.00,1
映画 館 苦手 hsp,110,110,90,50,70,90,90,110,110,90,70,210,210,210,140,110,110,70,110,110,140,110,90,140,140,27,0.00,0.00,0
本音を言う と涙が出る hsp,110,210,210,210,170,210,140,90,170,170,140,90,90,50,90,90,90,110,90,90,90,140,140,140,170,-19,1.78,91.10,8
気 にし すぎ 症候群 hsp,110,20,70,90,50,70,90,110,140,210,170,170,210,210,140,110,110,110,90,90,70,90,70,70,70,250,0.00,0.00,3
繊細 な 人 hsp,110,70,70,50,70,90,90,70,90,140,140,110,140,90,110,90,110,110,140,170,170,110,50,70,40,-43,0.00,0.00,8
音楽を聴いて泣く hsp,110,260,260,260,170,210,170,140,140,140,110,110,110,110,110,140,110,110,90,110,70,110,90,90,90,-65,0.00,0.00,0
頭の中がうるさい hsp,110,0,0,0,0,0,0,0,0,0,0,0,0,0,30,90,140,170,210,210,140,140,170,140,20,-33,0.00,0.00,0
760 hp,90,110,110,140,140,110,110,110,110,110,140,110,110,110,110,110,110,70,90,90,90,70,90,70,110,0,0.00,0.00,13
94108 hsp,90,90,140,90,90,140,110,110,90,110,90,90,90,90,90,90,70,110,110,90,50,110,70,70,110,22,0.00,0.00,67
hsp 29 rue ordener,90,50,70,70,90,90,210,170,70,20,70,70,50,40,70,50,50,30,20,70,50,90,110,260,170,240,0.00,0.00,1
hsp 94118,90,50,90,70,70,110,90,110,110,50,90,90,90,90,90,50,110,70,110,170,140,90,50,90,90,80,0.00,0.00,100
hsp 94170,90,90,70,90,70,90,70,90,50,50,70,70,90,50,90,110,90,110,90,90,70,90,90,90,70,-22,0.00,0.00,80
hsp おすすめ 本,90,140,140,140,90,210,110,140,140,140,110,90,140,110,90,90,70,90,70,90,70,110,50,110,90,-36,13.08,299.74,99
hsp サングラス,90,170,170,140,90,140,90,110,110,140,110,110,110,90,110,90,70,110,70,90,90,140,90,70,70,-59,0.00,0.00,6
hsp 付き合い方,90,210,210,170,170,170,140,210,170,140,140,140,210,140,110,110,110,90,90,90,110,90,90,70,70,-67,0.00,0.00,7
hsp 働けない,90,140,170,110,110,140,110,140,110,90,140,140,170,140,90,90,50,110,70,90,90,70,70,110,70,-50,141.46,349.57,3
hsp 克服,90,170,210,140,110,170,140,170,90,90,90,70,170,140,110,70,70,90,70,90,70,70,50,70,70,-59,5.94,473.16,21
hsp 割合 日本人,90,90,50,40,50,40,50,40,50,50,40,70,110,110,70,50,40,70,90,90,90,90,90,70,90,0,0.00,0.00,0
hsp 引きこもり,90,110,140,110,110,110,140,110,110,90,90,110,110,90,90,70,90,90,110,110,90,110,70,90,70,-36,0.00,0.00,1
hsp 楽に なる方法 知恵袋,90,30,30,10,10,30,40,50,50,30,40,40,70,50,50,50,70,90,90,90,110,140,110,90,90,200,0.00,0.00,7
hsp 涙もろい,90,90,140,140,170,110,90,90,90,140,110,90,140,140,140,110,140,110,110,90,90,70,90,90,50,-44,0.00,0.00,1
hsp 理解されない,90,170,170,110,140,170,110,140,140,140,140,110,110,140,90,90,110,90,110,90,90,110,110,70,50,-71,0.00,0.00,0
hsp 直感 当たる,90,140,140,70,90,70,90,110,110,110,70,90,140,110,110,90,90,70,90,140,70,40,70,70,70,-50,0.00,0.00,0
hsp 相談,90,210,260,170,140,170,140,140,170,140,140,170,170,140,110,110,110,110,90,70,90,70,50,50,50,-76,71.97,204.33,43
hsp 結婚 向いてない,90,50,70,90,70,90,90,50,50,70,50,30,50,70,40,40,70,110,110,90,70,90,110,90,90,80,0.00,0.00,0
hsp 繊細,90,140,140,70,90,90,170,210,210,110,90,90,170,110,70,70,70,90,70,70,70,90,70,90,90,-36,0.00,0.00,3
hsp 苦手な人,90,170,170,140,170,140,110,140,170,140,170,90,140,140,90,90,90,70,90,70,90,70,70,70,40,-76,0.00,0.00,0
hsp 言い返せない,90,110,140,90,50,70,70,70,70,50,50,70,70,90,90,90,90,70,90,70,70,70,70,110,90,-18,0.00,0.00,0
hsp 論文,90,170,260,210,210,170,70,90,170,170,170,110,90,110,110,110,110,90,50,40,110,90,90,70,20,-88,0.00,0.00,0
hsp男性 モテ る,90,30,50,70,50,50,30,50,40,50,110,90,70,70,90,110,110,90,90,50,90,110,90,70,110,267,0.00,0.00,0
jn-ips271uhd-c65w-hsp,90,0,0,0,0,320,140,170,110,90,70,90,90,110,90,110,90,90,70,50,140,70,70,90,110,-66,16.25,94.00,78
jn-ips292wfhd-hsp-c65w,90,0,0,0,0,170,70,70,110,70,70,70,70,90,70,90,90,90,70,90,70,50,90,50,110,-35,0.00,0.00,81
お腹が空くと イライラする hsp,90,210,170,170,210,170,170,170,140,140,90,90,110,140,110,110,110,140,110,110,70,90,10,20,20,-90,0.00,0.00,0
エンパス hsp,90,90,70,110,140,70,50,70,70,70,50,70,90,70,90,110,50,90,110,90,70,110,70,50,50,-44,0.00,0.00,0
メールに時間がかかる hsp,90,170,140,140,110,140,110,140,90,90,90,110,70,110,110,110,110,110,110,90,90,110,90,50,70,-59,0.00,0.00,0
休み 方 が わからない hsp,90,110,140,90,90,90,70,110,90,90,70,90,110,90,110,110,90,110,90,110,90,70,70,90,50,-55,0.00,0.00,0
急かされるのが嫌い hsp,90,110,90,90,70,70,70,90,110,70,90,90,70,70,90,90,90,70,90,90,70,90,90,70,50,-55,0.00,0.00,4
接客業向いてない hsp,90,140,170,140,110,110,90,110,70,90,70,70,90,70,70,90,70,90,110,110,90,140,70,90,90,-36,0.00,0.00,2
映画 苦手 hsp,90,140,140,110,110,110,110,110,90,110,110,110,170,140,110,70,90,90,70,90,110,110,70,90,70,-50,0.00,0.00,0
音楽 鳥肌 hsp,90,260,210,170,140,140,170,140,140,110,110,140,140,140,140,110,90,70,70,90,90,70,90,70,50,-81,0.00,0.00,0
hsp 100,70,70,70,90,70,90,50,90,110,70,90,70,70,110,90,70,50,70,70,50,70,70,50,50,50,-29,0.00,0.00,3
hsp 4 つの 才能 診断,70,40,30,40,40,50,50,50,40,70,40,90,320,90,70,70,30,90,110,90,90,110,110,70,50,25,0.00,0.00,4
hsp 4種類,70,140,110,210,170,140,110,110,90,70,50,40,90,70,90,90,90,110,70,70,70,70,70,40,50,-64,0.00,0.00,1
hsp 94186,70,90,70,90,40,70,50,70,40,70,70,90,50,50,70,70,70,50,70,70,70,40,70,50,70,-22,0.00,0.00,64
hsp なんの略,70,90,70,90,70,70,50,70,70,90,70,70,90,70,70,70,70,70,70,70,50,70,90,70,90,0,0.00,0.00,0
hsp ゆるく働きたい,70,260,210,170,140,210,170,260,170,210,140,110,90,90,90,90,110,70,50,110,50,40,50,30,20,-92,0.00,0.00,5
hsp イライラしやすい,70,320,260,140,210,210,260,170,140,70,90,90,210,140,70,50,70,90,140,70,50,70,30,50,70,-78,0.00,0.00,2
hsp セルフチェック 無料,70,320,320,110,170,110,170,210,260,260,210,140,1600,90,140,210,40,40,70,40,40,50,70,50,90,-72,3.20,95.96,18
hsp ヒートショックプロテイン,70,40,40,50,70,40,30,30,40,40,50,50,30,140,50,50,50,110,40,70,90,110,90,90,50,25,0.00,0.00,0
hsp モラハラ夫,70,110,110,90,70,90,70,70,70,70,70,50,110,90,90,50,90,90,70,50,70,70,40,30,30,-73,0.00,0.00,3
hsp ライブ 苦手,70,70,70,90,70,70,50,70,70,90,90,70,90,70,90,70,110,90,70,90,90,90,70,50,40,-43,0.00,0.00,0
hsp ロングスリーパー,70,140,110,110,110,210,140,170,110,90,90,90,70,90,70,70,70,50,70,70,70,50,40,50,40,-71,0.00,0.00,0
hsp 不安が強い,70,140,140,50,70,90,70,50,70,70,110,110,50,50,50,50,70,90,70,50,50,70,30,70,70,-50,0.00,0.00,6
hsp 人混み,70,140,140,110,140,110,170,110,110,110,90,90,110,90,90,90,110,90,70,90,50,50,40,70,50,-64,0.00,0.00,0
hsp 保育士,70,140,170,90,90,110,140,140,110,140,140,90,140,110,90,70,90,110,70,90,70,50,50,50,50,-64,0.00,0.00,0
hsp 優しい,70,140,170,110,110,140,140,140,110,170,110,140,170,110,110,110,90,90,70,70,70,70,50,50,50,-64,0.00,0.00,1
hsp 向き合い方,70,140,140,90,90,170,90,110,110,90,110,90,110,90,90,90,70,70,70,50,70,50,70,40,70,-50,6.10,122.07,48
hsp 嘘,70,140,170,110,110,140,110,140,110,110,110,90,140,90,90,90,70,70,70,70,50,50,30,40,40,-71,0.00,0.00,0
hsp 恋愛 できない 女,70,90,90,90,70,110,90,110,90,90,110,70,90,90,70,70,90,70,50,50,50,90,70,50,50,-44,0.00,0.00,0
hsp 恋愛できない,70,70,70,70,170,140,110,210,170,260,170,140,110,70,70,70,70,70,90,70,90,50,50,20,30,-57,0.00,0.00,0
hsp 愛着障害,70,70,50,50,50,70,50,50,70,70,70,70,90,70,50,50,70,50,70,70,110,70,30,50,30,-57,0.00,0.00,0
hsp 慣れるまでに時間がかかる,70,170,210,140,110,110,90,140,210,170,140,90,50,70,90,70,50,90,70,90,110,70,70,40,30,-82,0.00,0.00,0
hsp 扁桃体,70,170,140,110,110,140,90,140,90,110,90,110,90,140,70,70,70,70,70,50,70,90,70,50,50,-71,0.00,0.00,0
hsp 才能,70,170,140,140,110,110,70,110,140,90,110,70,70,90,110,90,110,70,70,70,50,50,50,50,70,-59,0.00,0.00,1
hsp 接客業,70,90,170,90,90,140,110,170,170,110,140,110,70,50,90,70,70,70,70,70,40,40,50,50,50,-44,0.00,0.00,4
hsp 映画,70,110,140,90,90,140,110,110,110,110,90,110,140,110,90,70,70,50,70,50,50,70,50,40,40,-64,0.00,0.00,0
hsp 本 ベストセラー,70,140,90,70,70,110,90,90,90,90,70,50,70,70,70,70,90,90,50,70,70,70,50,50,70,-50,3.70,89.30,84
hsp 本音 涙が出る,70,170,170,110,70,90,90,110,90,110,110,50,70,50,50,70,70,70,70,50,70,90,90,50,50,-71,0.00,0.00,1
hsp 根拠 ない,70,260,260,170,210,260,170,170,110,140,140,140,170,90,90,90,70,70,70,70,40,40,50,50,40,-85,0.00,0.00,0
hsp 正式名称,70,90,90,90,90,70,70,40,70,70,50,70,70,50,70,70,70,90,70,50,40,50,50,70,70,-22,0.00,0.00,0
hsp 無料診断,70,50,70,30,40,50,50,50,50,50,50,40,210,90,70,40,50,70,70,90,70,70,70,70,70,40,6.16,130.88,20
hsp 略,70,90,90,70,90,90,70,70,110,110,70,50,90,70,50,70,50,70,50,50,70,50,70,70,50,-44,0.00,0.00,0
hsp 相性の良い人,70,260,140,110,110,140,110,140,90,140,90,70,90,110,140,110,70,90,90,50,50,50,50,30,40,-85,0.00,0.00,0
hsp 眠い,70,170,170,170,140,140,110,140,110,110,110,70,70,70,70,90,70,90,90,70,50,40,50,70,50,-71,0.00,0.00,1
hsp 睡眠,70,140,170,140,110,170,110,110,110,110,70,50,90,70,110,90,50,90,70,90,50,90,70,90,40,-71,0.00,0.00,1
hsp 約束 苦手,70,260,260,210,170,210,210,170,170,210,90,70,70,110,90,70,70,110,50,40,50,40,30,30,50,-81,0.00,0.00,1
hsp 脳,70,140,140,110,90,110,70,110,90,70,90,70,70,90,110,70,50,70,70,90,70,70,70,40,40,-71,0.00,0.00,2
hsp 脳疲労,70,140,170,110,90,90,90,110,110,170,110,90,70,70,90,70,50,70,70,50,50,70,70,70,70,-50,0.00,0.00,5
hsp 良いところ,70,140,140,140,110,90,140,140,110,90,70,90,110,70,90,90,110,70,50,70,70,50,50,50,50,-64,0.00,0.00,0
hsp 被害妄想,70,110,140,90,110,140,90,90,90,90,90,90,110,70,70,70,70,70,70,70,70,50,50,50,50,-55,0.00,0.00,0
hsp 集まり,70,110,110,90,70,110,70,110,140,110,90,70,90,110,90,50,50,70,70,90,70,90,70,50,40,-64,0.00,0.00,1
hsp 雷 好き,70,110,20,20,10,30,10,40,40,20,40,110,110,210,30,40,20,10,10,20,20,50,70,110,170,55,0.00,0.00,0
hsp 音,70,140,140,110,140,140,90,70,90,140,140,140,90,90,90,70,70,70,90,90,70,50,50,40,70,-50,0.00,0.00,0
hsp 音楽,70,140,170,110,140,110,110,90,90,140,90,50,90,90,90,90,50,70,50,50,40,50,50,50,40,-71,0.00,0.00,0
hsp 飲み会,70,90,70,110,140,90,90,90,90,90,50,70,70,90,70,110,140,40,30,70,50,40,40,30,40,-56,0.00,0.00,0
hsp 魂レベル,70,110,110,90,70,140,90,110,70,110,110,70,90,90,70,50,70,50,70,90,50,50,50,70,70,-36,0.00,0.00,0
ちいかわ hsp,70,40,10,20,10,30,30,20,10,20,10,20,20,20,10,20,10,20,10,20,20,20,10,40,480,1100,0.00,0.00,0
ストレス感じやすい hsp,70,140,110,110,70,70,90,90,90,110,50,70,90,90,90,90,90,90,90,30,90,90,50,70,50,-64,0.00,0.00,5
ツインレイに出会う人 hsp,70,50,30,50,50,50,70,90,70,70,70,70,90,90,110,110,90,90,30,70,50,30,30,40,40,-20,0.00,0.00,0
メール 苦手 hsp,70,90,70,50,50,50,30,50,50,40,40,50,50,40,70,70,70,70,50,70,70,50,70,70,50,-44,0.00,0.00,1
同じ曲を何度も聞く hsp,70,110,110,90,70,90,90,110,170,170,110,110,110,90,110,110,90,90,70,50,110,110,30,30,30,-73,0.00,0.00,0
怒ると涙が出る hsp,70,70,90,90,70,90,90,70,40,70,70,50,50,50,70,70,50,50,50,50,70,70,90,70,170,143,2.74,57.86,3
断るのが苦手 hsp,70,70,90,90,70,70,70,70,40,50,50,70,90,90,70,50,40,90,50,70,70,70,10,40,70,0,0.00,0.00,0
旅行 楽しめない hsp,70,110,90,50,40,40,50,90,50,70,70,70,110,110,90,90,50,50,90,90,50,50,70,50,90,-18,0.00,0.00,0
理解するのに時間がかかる hsp,70,0,0,0,0,0,0,0,40,90,40,70,70,70,110,90,90,70,70,110,90,70,70,70,40,0,0.00,0.00,1
田村 淳 hsp,70,110,110,140,110,110,140,140,110,170,170,170,170,110,110,70,50,90,70,50,90,50,70,70,70,-36,0.00,0.00,0
磯山 さやか hsp,70,0,0,0,0,0,0,0,0,0,0,10,4400,260,140,70,90,70,50,70,50,30,30,40,30,200,0.00,0.00,0
空気 を 読み すぎる hsp,70,110,110,90,90,90,70,50,70,50,30,30,30,30,90,70,50,50,40,90,90,90,50,50,50,-55,9.42,103.91,7
細かい ことが気になる hsp,70,110,110,90,90,90,90,90,110,110,70,90,110,70,110,110,70,50,70,50,70,70,50,50,70,-36,0.00,0.00,6
葬式 行き たく ない hsp,70,0,0,0,0,0,0,0,0,0,0,0,0,0,40,110,70,90,40,90,90,50,70,40,30,-25,0.00,0.00,0
適応 障害 hsp,70,140,170,140,110,110,110,110,140,90,140,90,90,110,110,90,70,90,110,70,70,70,50,50,30,-79,0.00,0.00,0
5th avenue hospital,50,70,50,70,70,70,50,70,70,70,70,90,70,50,70,50,50,50,70,40,70,70,70,50,70,0,0.00,0.00,3
enfp hsp,50,140,110,140,110,110,90,90,90,90,70,110,70,70,50,70,50,50,40,50,70,70,70,40,40,-71,0.00,0.00,0
